bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1893399,2172,AB6,2,Engrossed,2025-06-02,"Residential developments: building standards: review.","An act to add Sections 17921.12 and 17921.13 to the Health and Safety Code, relating to housing.",0,,2025-08-29,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB6/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB6
1933606,2172,ABX16,6,Failed,2025-02-03,"Forestry: timber operations: maintenance of timberlands for fuels reduction.","An act to add Section 4581.5 to the Public Resources Code, relating to forestry.",0,,2025-02-03,"Died at Desk.",https://legiscan.com/CA/bill/ABX16/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520261AB6
1893404,2172,AB7,5,Vetoed,2025-10-13,"Postsecondary education: admissions preference: descendants of slavery.","An act to add Article 13 (commencing with Section 66097) to Chapter 2 of Part 40 of Division 5 of Title 3 of the Education Code, relating to postsecondary education.",0,,2025-10-13,"Consideration of Governor's veto pending.",https://legiscan.com/CA/bill/AB7/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB7
1933484,2172,ABX17,6,Failed,2025-02-03,"Budget Act of 2024.","An act to amend the Budget Act of 2024 (Chs. 22, 35, and 994, Stats. 2024), by amending Section 99.50 of, and by adding Section 11.40 to, that act, relating to the state budget, and to take effect immediately, budget bill.",0,,2025-02-03,"Died at Desk.",https://legiscan.com/CA/bill/ABX17/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520261AB7
1893405,2172,AB8,4,Passed,2025-10-02,"Cannabis: cannabinoids: industrial hemp.","An act to amend Sections 26001, 26002, 26015, 26031.6, 26036, 26038, 26039.4, 26039.6, 26051.5, 26060, 26067, 26068, 26069, 26070, 26070.2, 26080, 26100, 26110, 26152, and 26200 of, and to add Sections 22980.6 and 26000.5 to, the Business and Professions Code, to amend Sections 11006.5, 11018, 11018.1, 11018.5, 11357.5, 11361, 110611, 111691, 111920, 111921, 111921.5, 111921.6, 111922.3, 111923.3, 111925, 111925.2, 111926, 111926.2, 111926.3, 111927.2, and 113091 of, to amend and repeal Section 111923.9 of, to add Sections 111921.1 and 111921.8 to, to add and repeal Section 111929.5 of, and to repeal Article 10 (commencing with Section 111929) of Chapter 9 of Part 5 of Division 104 of, the Health and Safety Code, and to amend Sections 34010, 34013, 34014, and 34016 of, and to add Section 34015.3 to, the Revenue and Taxation Code, relating to cannabinoids, and making an appropriation therefor.",0,,2025-10-02,"Chaptered by Secretary of State - Chapter 248, Statutes of 2025.",https://legiscan.com/CA/bill/AB8/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB8
1933305,2172,ABX18,6,Failed,2025-02-03,"Budget Act of 2024.","An act to amend the Budget Act of 2024 (Chs. 22, 35, and 994, Stats. 2024), by amending Section 99.50 of, and by adding Section 11.60 to, that act, relating to the state budget, and to take effect immediately, budget bill.",0,,2025-02-03,"Died at Desk.",https://legiscan.com/CA/bill/ABX18/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520261AB8
1893406,2172,AB9,1,Introduced,2024-12-02,"University of California: California State University: transfer students.","An act to add Sections 66744.3 and 66744.4 to the Education Code, relating to public postsecondary education.",458,"Assembly Higher Education",2025-02-03,"Referred to Com. on HIGHER ED.",https://legiscan.com/CA/bill/AB9/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB9
1933366,2172,ABX19,6,Failed,2025-02-03,"Budget Act of 2024.","An act to amend the Budget Act of 2024 (Chs. 22, 35, and 994, Stats. 2024), by amending Section 99.50 of, and by adding Section 11.50 to, that act, relating to the state budget, and to take effect immediately, budget bill.",0,,2025-02-03,"Died at Desk.",https://legiscan.com/CA/bill/ABX19/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520261AB9
1939328,2172,ABX110,6,Failed,2025-02-03,"State government: emergency services: nonprofit service providers.","An act to add Section 8596.1 to the Government Code, relating to state government.",0,,2025-02-03,"Died at Desk.",https://legiscan.com/CA/bill/ABX110/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520261AB10
1893345,2172,AB10,1,Introduced,2024-12-02,"California Coastal Commission: consistency determinations: Vandenberg Space Force Base.","An act to add Section 30345 to the Public Resources Code, relating to coastal resources, and declaring the urgency thereof, to take effect immediately.",0,,2024-12-03,"From printer. May be heard in committee January 2.",https://legiscan.com/CA/bill/AB10/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB10
1939327,2172,ABX111,6,Failed,2025-02-03,"Crimes: impeding emergency personnel.","An act to amend Section 402 of the Penal Code, relating to crimes.",0,,2025-02-03,"Died at Desk.",https://legiscan.com/CA/bill/ABX111/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520261AB11
1893346,2172,AB11,2,Engrossed,2025-06-02,"The Social Housing Act.","An act to add Title 6.91 (commencing with Section 64900) to the Government Code, relating to housing.",3949,"Senate Housing",2025-06-26,"In committee: Set, first hearing. Hearing canceled at the request of author.",https://legiscan.com/CA/bill/AB11/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB11
1945215,2172,ABX112,6,Failed,2025-02-03,"Crimes: looting.","An act to amend Section 463 of the Penal Code, relating to crimes.",0,,2025-02-03,"Died at Desk.",https://legiscan.com/CA/bill/ABX112/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520261AB12
1893347,2172,AB12,1,Introduced,2024-12-02,"Low-carbon fuel standard: regulations.","An act to add Section 39617.2 to the Health and Safety Code, relating to air pollution.",466,"Assembly Natural Resources",2025-02-18,"Referred to Com. on NAT. RES.",https://legiscan.com/CA/bill/AB12/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB12
1893348,2172,AB13,2,Engrossed,2025-06-03,"Public Utilities Commission: membership: reports.","An act to amend Sections 301, 321.6, and 910.1 of, and to add Section 910.10 to, the Public Utilities Code, relating to the Public Utilities Commission.",0,,2025-08-29,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB13/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB13
1949695,2172,ABX113,6,Failed,2025-02-03,"California Global Warming Solutions Act of 2006: scoping plan.","An act to amend Section 38561 of the Health and Safety Code, relating to greenhouse gases.",0,,2025-02-03,"Died at Desk.",https://legiscan.com/CA/bill/ABX113/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520261AB13
1949696,2172,ABX114,6,Failed,2025-02-03,"Generators: air pollution regulations: income tax credits.","An act to amend Section 43018.11 of the Health and Safety Code, and to add and repeal Section 17053.49 of the Revenue and Taxation Code, relating to generators.",0,,2025-02-03,"Died at Desk.",https://legiscan.com/CA/bill/ABX114/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520261AB14
1893349,2172,AB14,4,Passed,2025-10-11,"Coastal resources: Protecting Blue Whales and Blue Skies Program.","An act to add Chapter 3.3 (commencing with Section 35640) to Division 26.5 of the Public Resources Code, relating to coastal resources.",0,,2025-10-11,"Chaptered by Secretary of State - Chapter 606, Statutes of 2025.",https://legiscan.com/CA/bill/AB14/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB14
1953110,2172,ABX115,6,Failed,2025-02-03,"Budget Act of 2024.","An act to amend the Budget Act of 2024 (Chs. 22, 35, and 994, Stats. 2024), by amending Section 99.50 of, and by adding Section 5.27 to, that act, relating to the state budget, and making an appropriation therefor, to take effect immediately, budget bill.",0,,2025-02-04,"From printer.",https://legiscan.com/CA/bill/ABX115/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520261AB15
1893350,2172,AB15,5,Vetoed,2025-10-11,"Open unsolved homicide: review and reinvestigation.","An act to add Chapter 4 (commencing with Section 11483) to Title 1 of Part 4 of the Penal Code, relating to crimes.",0,,2025-10-11,"Consideration of Governor's veto pending.",https://legiscan.com/CA/bill/AB15/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB15
1893351,2172,AB16,4,Passed,2025-10-01,"Vote by mail ballots: processing.","An act to amend Sections 15101 and 15104 of the Elections Code, relating to elections.",0,,2025-10-01,"Chaptered by Secretary of State - Chapter 140, Statutes of 2025.",https://legiscan.com/CA/bill/AB16/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB16
1893352,2172,AB17,4,Passed,2025-07-30,"Elections: precinct maps.","An act to add Section 12263 to the Elections Code, relating to elections.",0,,2025-07-30,"Chaptered by Secretary of State - Chapter 80, Statutes of 2025.",https://legiscan.com/CA/bill/AB17/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB17
1893353,2172,AB18,1,Introduced,2024-12-02,"California Secure Borders Act of 2025.","An act relating to immigration.",0,,2024-12-03,"From printer. May be heard in committee January 2.",https://legiscan.com/CA/bill/AB18/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB18
1893354,2172,AB19,1,Introduced,2024-12-02,"Education expenses: Education Choice and Parental Empowerment Act of 2025.","An act to add Article 19.2 (commencing with Section 69995) to Chapter 2 of Part 42 of Division 5 of Title 3 of the Education Code, and to add Sections 17132.2 and 17210 to the Revenue and Taxation Code, relating to education expenses, and making an appropriation therefor.",469,"Assembly Revenue and Taxation",2025-04-28,"In committee: Set, second hearing. Held under submission.",https://legiscan.com/CA/bill/AB19/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB19
1893356,2172,AB20,6,Failed,2025-05-21,"Homelessness: People First Housing Act of 2025.","An act to amend Section 1954.09 of the Civil Code, to amend Section 65660 of the Government Code, to amend Section 50216 of, and to add Chapter 22.5 (commencing with Section 26280) to Division 20 of, the Health and Safety Code, and to amend Sections 5960.31, 8255, and 15771 of, to repeal and add Section 8256 of, and to amend the heading of Chapter 6.5 (commencing with Section 8255) of Division 8 of, the Welfare and Institutions Code, relating to homelessness.",459,"Assembly Housing and Community Development",2025-05-21,"From committee: Without further action pursuant to Joint Rule 62(a).",https://legiscan.com/CA/bill/AB20/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB20
1893357,2172,AB21,6,Failed,2025-04-28,"Common interest developments: association management and meeting procedures.","An act to amend Sections 4360, 4910, 4920, 4935, 4950, 4955, 5100, 5105, 5120, 5145, 5200, 5205, 5230, and 5235 of, and to add Sections 4921 and 4941 to, the Civil Code, relating to common interest developments.",0,,2025-04-28,"From committee: Without further action pursuant to Joint Rule 62(a).",https://legiscan.com/CA/bill/AB21/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB21
1893358,2172,AB22,1,Introduced,2024-12-02,Crime.,"An act to amend Section 290 of the Penal Code, and to amend Sections 653.5, 707.2, 727, 828.1, 1753.3, 1767.1, and 6608.5 of, to add Section 6609.4 to, and to repeal and add Sections 602 and 707 of, the Welfare and Institutions Code, relating to crimes.",468,"Assembly Public Safety",2025-04-22,"In committee: Set, first hearing. Held without recommendation.",https://legiscan.com/CA/bill/AB22/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB22
1893359,2172,AB23,1,Introduced,2024-12-02,"The Cost of Living Reduction Act of 2025.","An act to add Chapter 6.6 (commencing with Section 25560) to Division 15 of the Public Resources Code, and to amend Section 739.9 of, and to add Chapter 10 (commencing with Section 8410) to Division 4.1 of, the Public Utilities Code, relating to energy, and making an appropriation therefor.",3620,"Assembly Utilities and Energy",2025-03-26,"Re-referred to Com. on U. & E.",https://legiscan.com/CA/bill/AB23/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB23
1893360,2172,AB24,1,Introduced,2024-12-02,"San Diego Association of Governments: board of directors.","An act to amend Section 132351.1 of the Public Utilities Code, relating to transportation.",465,"Assembly Local Government",2025-04-23,"In committee: Set, first hearing. Held without recommendation.",https://legiscan.com/CA/bill/AB24/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB24
1893361,2172,AB25,6,Failed,2025-04-09,"California Voter ID and Election Integrity Act of 2025.","An act to amend Sections 3000.5, 3011, 3019, and 15301 of, to add Sections 2110, 2186, 3019.1, 3019.3, and 14216.5 to, to add Chapter 3 (commencing with Section 3200) to Division 3 of, and to repeal Sections 2111, 2112, and 10005 of, the Elections Code, relating to elections.",0,,2025-04-09,"From committee: Without further action pursuant to Joint Rule 62(a).",https://legiscan.com/CA/bill/AB25/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB25
1893362,2172,AB26,1,Introduced,2024-12-02,"Eliminate the Politicians’ Perks Act of 2025.","An act relating to the Political Reform Act of 1974.",0,,2024-12-03,"From printer. May be heard in committee January 2.",https://legiscan.com/CA/bill/AB26/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB26
1893363,2172,AB27,2,Engrossed,2025-05-29,"Personal Income Tax Law: Corporation Tax Law: Chiquita Canyon elevated temperature landfill event: exclusions.","An act to add Sections 17157.5 and 24309.9 to the Revenue and Taxation Code, and to add Section 10010 to the Welfare and Institutions Code, relating to taxation.",475,"Senate Appropriations",2025-08-13,"In committee: Set, first hearing. Hearing canceled at the request of author.",https://legiscan.com/CA/bill/AB27/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB27
1893364,2172,AB28,2,Engrossed,2025-05-29,"Solid waste landfills: subsurface temperatures.","An act to add Section 43031 to the Public Resources Code, relating to solid waste.",0,,2025-09-08,"Ordered to inactive file at the request of Senator Blakespear.",https://legiscan.com/CA/bill/AB28/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB28
1893365,2172,AB29,1,Introduced,2024-12-02,"Medi-Cal: Adverse Childhood Experiences trauma screenings: providers.","An act to add Section 14105.198 to the Welfare and Institutions Code, relating to public health.",0,,2025-05-23,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB29/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB29
1893367,2172,AB30,4,Passed,2025-10-02,"State Air Resources Board: gasoline specifications: ethanol blends.","An act to add Section 43013.7 to the Health and Safety Code, relating to motor vehicle fuels, and declaring the urgency thereof, to take effect immediately.",0,,2025-10-02,"Chaptered by Secretary of State - Chapter 247, Statutes of 2025.",https://legiscan.com/CA/bill/AB30/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB30
1893368,2172,AB31,2,Engrossed,2025-06-02,"Peace officers: tribal police pilot project.","An act to add and repeal Sections 830.83 and 832.55 of, and to add and repeal Article 2.45 (commencing with Section 11073) of Chapter 1 of Title 1 of Part 4 of, the Penal Code, relating to peace officers.",487,"Senate Public Safety",2025-06-11,"Referred to Com. on PUB. S.",https://legiscan.com/CA/bill/AB31/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB31
1893369,2172,AB32,1,Introduced,2024-12-02,"Tribal judges.","An act to amend Section 2166.7 of the Elections Code, to amend Section 217.1 of the Penal Code, and to amend Section 1808.4 of the Vehicle Code, relating to public officials.",0,,2025-05-23,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB32/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB32
1893370,2172,AB33,2,Engrossed,2025-05-29,"Autonomous vehicles.","An act to add Sections 38760, 38761, and 38762 to the Vehicle Code, relating to autonomous vehicles.",0,,2025-09-09,"Ordered to inactive file at the request of Senator Gonzalez.",https://legiscan.com/CA/bill/AB33/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB33
1893371,2172,AB34,1,Introduced,2024-12-02,"Air pollution: regulations: consumer costs: review.","An act to amend Section 39602.5 of the Health and Safety Code, relating to air pollution.",466,"Assembly Natural Resources",2025-03-17,"Re-referred to Com. on NAT. RES.",https://legiscan.com/CA/bill/AB34/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB34
1893372,2172,AB35,1,Introduced,2024-12-02,"California Environmental Quality Act: clean hydrogen transportation projects.","An act to add and repeal Chapter 5.2 (commencing with Section 21162) of Division 13 of the Public Resources Code, relating to environmental quality.",466,"Assembly Natural Resources",2025-04-22,"Re-referred to Com. on NAT. RES.",https://legiscan.com/CA/bill/AB35/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB35
1893373,2172,AB36,4,Passed,2025-10-10,"Housing elements: prohousing designation.","An act to amend Section 65589.9 of the Government Code, relating to housing.",0,,2025-10-10,"Chaptered by Secretary of State - Chapter 485, Statutes of 2025.",https://legiscan.com/CA/bill/AB36/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB36
1893374,2172,AB37,1,Introduced,2024-12-02,"Workforce development: mental health service providers: homelessness.","An act to add Section 14014.5 to the Unemployment Insurance Code, relating to workforce development.",464,"Assembly Labor and Employment",2025-03-17,"Re-referred to Com. on L. & E.",https://legiscan.com/CA/bill/AB37/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB37
1893375,2172,AB38,1,Introduced,2024-12-02,"Crimes: serious and violent felonies.","An act to amend Section 667.5 of the Penal Code, relating to crimes.",468,"Assembly Public Safety",2025-03-20,"In committee: Set, first hearing. Hearing canceled at the request of author.",https://legiscan.com/CA/bill/AB38/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB38
1893376,2172,AB39,4,Passed,2025-10-06,"General plans: Local Electrification Planning Act.","An act to add Section 65302.13 to the Government Code, relating to local government.",0,,2025-10-06,"Chaptered by Secretary of State - Chapter 356, Statutes of 2025.",https://legiscan.com/CA/bill/AB39/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB39
1893378,2172,AB40,2,Engrossed,2025-04-21,"Redistricting: congressional districts.","An act to amend Section 21454 of the Elections Code, relating to redistricting, and declaring the urgency thereof, to take effect immediately.",0,,2025-09-13,"Ordered to inactive file at the request of Senator Grayson.",https://legiscan.com/CA/bill/AB40/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB40
1893379,2172,AB41,1,Introduced,2024-12-02,"State Air Resources Board: regulations: impact estimates: retail gasoline prices: public disclosure.","An act to add Section 39601.6 to the Health and Safety Code, relating to air pollution.",466,"Assembly Natural Resources",2025-02-18,"Referred to Com. on NAT. RES.",https://legiscan.com/CA/bill/AB41/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB41
1893380,2172,AB42,4,Passed,2025-10-07,"CalWORKs: CalFresh: eligibility: income and resource exclusions.","An act to add Sections 11157.2 and 18901.09 to the Welfare and Institutions Code, relating to public social services.",0,,2025-10-07,"Chaptered by Secretary of State - Chapter 430, Statutes of 2025.",https://legiscan.com/CA/bill/AB42/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB42
1893381,2172,AB43,4,Passed,2025-10-07,"Wild and scenic rivers.","An act to amend Section 5093.71 of the Public Resources Code, relating to wild and scenic rivers.",0,,2025-10-07,"Chaptered by Secretary of State - Chapter 431, Statutes of 2025.",https://legiscan.com/CA/bill/AB43/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB43
1893382,2172,AB44,5,Vetoed,2025-10-01,"Energy: electrical demand forecasts.","An act to add Section 25403.6 to the Public Resources Code, relating to electricity.",0,,2025-10-01,"Consideration of Governor's veto pending.",https://legiscan.com/CA/bill/AB44/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB44
1893383,2172,AB45,4,Passed,2025-09-26,"Privacy: health data: location and research.","An act to amend Section 1798.99.90 of, to amend the heading of Title 1.81.49 (commencing with Section 1798.99.90) of Part 4 of Division 3 of, and to add Sections 1798.99.91, 1798.99.92, and 1798.99.93 to, the Civil Code, and to amend Section 140 of the Health and Safety Code, relating to privacy.",0,,2025-09-26,"Chaptered by Secretary of State - Chapter 134, Statutes of 2025.",https://legiscan.com/CA/bill/AB45/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB45
1893384,2172,AB46,2,Engrossed,2025-05-19,Diversion.,"An act to amend Section 1001.36 of the Penal Code, relating to diversion.",475,"Senate Appropriations",2025-08-18,"In committee: Hearing postponed by committee.",https://legiscan.com/CA/bill/AB46/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB46
1893385,2172,AB47,1,Introduced,2024-12-02,"Elderly Parole Program.","An act to amend Section 3055 of the Penal Code, relating to parole.",0,,2025-05-23,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB47/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB47
1893386,2172,AB48,2,Engrossed,2025-06-04,"Education finance: postsecondary education facilities: College Health and Safety Bond Act of 2026.","An act to add Article 8 (commencing with Section 89800) to Chapter 6 of Part 55 of Division 8 of Title 3 of, to add Article 7 (commencing with Section 92170) to Chapter 2 of Part 57 of Division 9 of Title 3 of, and to add Part 71 (commencing with Section 101200) to Division 14 of Title 3 of, the Education Code, relating to education finance, by providing the funds necessary therefor through an election for the issuance and sale of bonds of the State of California and for the handling and disposition of these funds.",489,"Senate Rules",2025-06-05,"In Senate. Read first time. To Com. on RLS. for assignment.",https://legiscan.com/CA/bill/AB48/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB48
1893387,2172,AB49,4,Passed,2025-09-20,"Schoolsites: immigration enforcement.","An act to amend Section 234.7 of the Education Code, relating to education, and declaring the urgency thereof, to take effect immediately.",0,,2025-09-20,"Chaptered by Secretary of State - Chapter 122, Statutes of 2025.",https://legiscan.com/CA/bill/AB49/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB49
1893389,2172,AB50,4,Passed,2025-09-26,"Pharmacists: furnishing contraceptives.","An act to amend Sections 733, 4052, 4052.3, and 4064.5 of the Business and Professions Code, relating to healing arts, and declaring the urgency thereof, to take effect immediately.",0,,2025-09-26,"Chaptered by Secretary of State - Chapter 135, Statutes of 2025.",https://legiscan.com/CA/bill/AB50/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB50
1893390,2172,AB51,1,Introduced,2024-12-02,"Education finance: General Fund cashflow loans: Inglewood Unified School District: interest waivers.","An act to add Chapter 3.15 (commencing with Section 41475) to Part 24 of Division 3 of Title 2 of the Education Code, relating to education finance.",0,,2025-05-23,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB51/2025,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB51
