bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1980482,1571558,2025-05-14,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",5,0,0,0,5
1980482,1573489,2025-05-19,Senate,"Placed on suspense file",5,0,0,2,7
1980483,1567912,2025-05-07,Senate,"Do pass",6,0,0,1,7
1980483,1579241,2025-05-27,Senate,"Senate 3rd Reading SB753 Cortese",39,0,0,1,40
1980483,1598858,2025-07-16,Assembly,"Do pass as amended",6,0,0,4,10
1980483,1602183,2025-09-12,Senate,"Unfinished Business SB753 Cortese Concurrence",37,0,0,3,40
1980483,1602564,2025-09-11,Assembly,"SB 753 Cortese Senate Third Reading By Carrillo",71,3,0,6,80
1980484,1562950,2025-04-30,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",8,0,0,0,8
1980484,1573518,2025-05-19,Senate,"Placed on suspense file",5,0,0,2,7
1980484,1577714,2025-05-23,Senate,"Do pass",6,0,0,1,7
1980484,1579305,2025-05-27,Senate,"Senate 3rd Reading SB754 Durazo",39,0,0,1,40
1980484,1597233,2025-07-01,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",5,0,0,2,7
1980484,1600499,2025-08-29,Assembly,"Do pass as amended",11,0,0,4,15
1980484,1601500,2025-09-09,Assembly,"SB 754 Durazo Senate Third Reading By Papan",71,0,0,9,80
1980484,1601723,2025-09-10,Senate,"Unfinished Business SB754 Durazo Concurrence",40,0,0,0,40
1980485,1562795,2025-04-30,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",5,2,0,1,8
1980485,1573517,2025-05-19,Senate,"Placed on suspense file",5,0,0,2,7
1980486,1559382,2025-04-28,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",10,0,0,1,11
1980486,1569750,2025-05-12,Senate,"Placed on suspense file",7,0,0,0,7
1980486,1577408,2025-05-23,Senate,"Do pass as amended",6,0,0,1,7
1980486,1585088,2025-06-04,Senate,"Senate 3rd Reading SB756 Smallwood-Cuevas",38,0,0,2,40
1980486,1597881,2025-07-08,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",8,0,0,1,9
1980486,1600671,2025-08-29,Assembly,"Do pass as amended",11,0,0,4,15
1980486,1602285,2025-09-12,Senate,"Unfinished Business SB756 Smallwood-Cuevas Concurrence",37,0,0,3,40
1980486,1602286,2025-09-12,Assembly,"SB 756 Smallwood-Cuevas Senate Third Reading By McKinnor",78,1,0,1,80
1980486,1602917,2025-09-13,Senate,"Unfinished Business SB756 Smallwood-Cuevas Concurrence",37,0,0,3,40
1980487,1536787,2025-04-02,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Judiciary]",7,0,0,0,7
1980487,1567908,2025-05-06,Senate,"Do pass as amended",12,0,0,1,13
1980487,1579273,2025-05-27,Senate,"Senate 3rd Reading SB757 Richardson",39,0,0,1,40
1980487,1592558,2025-06-18,Assembly,"Do pass as amended and be re-referred to the Committee on [Judiciary]",9,0,0,1,10
1980487,1597144,2025-07-01,Assembly,"Do pass as amended",12,0,0,0,12
1980487,1598313,2025-07-14,Assembly,"SB 757 Richardson Senate Third Reading By Dixon",71,0,0,8,79
1980487,1600995,2025-09-03,Senate,"Unfinished Business SB757 Richardson Concurrence",40,0,0,0,40
1980489,1554565,2025-04-22,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",6,0,0,0,6
1980489,1565290,2025-05-05,Senate,"Placed on suspense file",7,0,0,0,7
1980489,1577221,2025-05-23,Senate,"Do pass as amended",5,0,0,2,7
1980489,1585129,2025-06-04,Senate,"Senate 3rd Reading SB759 Archuleta",39,0,0,1,40
1980489,1597227,2025-07-01,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",9,0,0,0,9
1980490,1561031,2025-04-29,Senate,"Do pass",5,0,0,0,5
1980490,1579256,2025-05-27,Senate,"Senate 3rd Reading SB760 Allen",39,0,0,1,40
1980490,1598593,2025-07-16,Assembly,"Do pass as amended",7,0,0,0,7
1980490,1602119,2025-09-12,Senate,"Unfinished Business SB760 Allen et al. Concurrence",37,0,0,3,40
1980490,1602120,2025-09-12,Assembly,"SB 760 Allen Senate Third Reading By Solache",77,0,0,3,80
1980490,1602890,2025-09-13,Senate,"Unfinished Business SB760 Allen et al. Concurrence",37,0,0,3,40
1980491,1542796,2025-04-09,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Human Services]",7,0,0,0,7
1980491,1552823,2025-04-21,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",5,0,0,0,5
1980491,1565307,2025-05-05,Senate,"Placed on suspense file",7,0,0,0,7
1980491,1577269,2025-05-23,Senate,"Do pass as amended",6,0,0,1,7
1980491,1585027,2025-06-04,Senate,"Special Consent SB761 Ashby",39,0,0,1,40
1980491,1597826,2025-07-08,Assembly,"Do pass as amended and be re-referred to the Committee on [Human Services]",10,0,0,0,10
1980491,1598438,2025-07-15,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",6,0,0,1,7
1980491,1600315,2025-08-29,Assembly,"Do pass",15,0,0,0,15
1980491,1602350,2025-09-12,Senate,"Unfinished Business SB761 Ashby et al. Concurrence",38,0,0,2,40
1980491,1602394,2025-09-11,Assembly,"SB 761 Ashby Senate Third Reading By Tangipa",80,0,0,0,80
1980493,1542699,2025-04-08,Senate,"Do pass, but first be re-referred to the Committee on [Public Safety]",11,2,0,0,13
1980493,1563092,2025-04-29,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",5,1,0,0,6
1980493,1569840,2025-05-12,Senate,"Placed on suspense file",7,0,0,0,7
1980493,1577577,2025-05-23,Senate,"Do pass as amended",5,1,0,1,7
1980493,1585052,2025-06-04,Senate,"Senate 3rd Reading SB763 Hurtado",29,10,0,1,40
1980493,1597200,2025-07-01,Assembly,"Do pass and be re-referred to the Committee on [Public Safety]",8,3,0,1,12
1980493,1598721,2025-07-15,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",7,2,0,0,9
1980493,1600357,2025-08-29,Assembly,"Do pass as amended",10,4,0,1,15
1980493,1602305,2025-09-12,Senate,"Unfinished Business SB763 Hurtado Concurrence",29,8,0,3,40
1980493,1602306,2025-09-12,Assembly,"SB 763 Hurtado Senate Third Reading By Kalra",53,20,0,7,80
1980493,1602893,2025-09-13,Senate,"Unfinished Business SB763 Hurtado Concurrence",29,8,0,3,40
1980494,1545015,2025-04-09,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",11,0,0,0,11
1980494,1559457,2025-04-28,Senate,"Placed on suspense file",7,0,0,0,7
1980494,1577811,2025-05-23,Senate,"Do pass",6,0,0,1,7
1980494,1581722,2025-05-29,Senate,"Special Consent SB764 Weber Pierson",38,0,0,2,40
1980494,1598030,2025-07-08,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",16,0,0,0,16
