bill_id,date,chamber,sequence,action
1893345,2024-12-02,Assembly,1,"Read first time. To print."
1893345,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893346,2024-12-02,Assembly,1,"Read first time. To print."
1893346,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893346,2025-02-03,Assembly,3,"Referred to Com. on H. & C.D."
1893346,2025-04-28,Assembly,4,"Coauthors revised."
1893346,2025-04-28,Assembly,5,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 7. Noes 3.) (April 24). Re-referred to Com. on APPR."
1893346,2025-05-07,Assembly,6,"In committee: Set, first hearing. Referred to APPR. suspense file."
1893346,2025-05-23,Assembly,7,"From committee: Do pass. (Ayes 11. Noes 3.) (May 23)."
1893346,2025-05-27,Assembly,8,"Read second time. Ordered to third reading."
1893346,2025-06-02,Assembly,9,"Read third time. Passed. Ordered to the Senate. (Ayes 47. Noes 20. Page 1928.)"
1893346,2025-06-03,Senate,10,"In Senate. Read first time. To Com. on RLS. for assignment."
1893346,2025-06-11,Senate,11,"Referred to Coms. on HOUSING and G.O."
1893346,2025-06-26,Senate,12,"In committee: Set, first hearing. Hearing canceled at the request of author."
1893347,2024-12-02,Assembly,1,"Read first time. To print."
1893347,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893347,2025-02-18,Assembly,3,"Referred to Com. on NAT. RES."
1893348,2024-12-02,Assembly,1,"Read first time. To print."
1893348,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893348,2025-02-03,Assembly,3,"Referred to Com. on U. & E."
1893348,2025-02-24,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on U. & E. Read second time and amended."
1893348,2025-02-25,Assembly,5,"Re-referred to Com. on U. & E."
1893348,2025-03-17,Assembly,6,"From committee chair, with author's amendments: Amend, and re-refer to Com. on U. & E. Read second time and amended."
1893348,2025-03-18,Assembly,7,"Re-referred to Com. on U. & E."
1893348,2025-03-27,Assembly,8,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 18. Noes 0.) (March 26). Re-referred to Com. on APPR."
1893348,2025-04-30,Assembly,9,"In committee: Set, first hearing. Referred to suspense file."
1893348,2025-05-23,Assembly,10,"Assembly Rule 63 suspended. (Ayes 51. Noes 16. Page 1644.)"
1893348,2025-05-23,Assembly,11,"From committee: Amend, and do pass as amended. (Ayes 11. Noes 0.) (May 23)."
1893348,2025-05-23,Assembly,12,"Read second time and amended. Ordered returned to second reading."
1893348,2025-05-27,Assembly,13,"Read second time. Ordered to third reading."
1893348,2025-06-03,Assembly,14,"Read third time. Passed. Ordered to the Senate. (Ayes 79. Noes 0. Page 1999.)"
1893348,2025-06-04,Senate,15,"In Senate. Read first time. To Com. on RLS. for assignment."
1893348,2025-06-18,Senate,16,"Referred to Com. on E., U & C."
1893348,2025-07-17,Senate,17,"From committee: Amend, and do pass as amended and re-refer to Com. on APPR. (Ayes 16. Noes 0.) (July 15)."
1893348,2025-07-17,Senate,18,"Read second time and amended. Re-referred to Com. on APPR."
1893348,2025-08-18,Senate,19,"In committee: Referred to suspense file."
1893348,2025-08-29,Senate,20,"In committee: Held under submission."
1893349,2024-12-02,Assembly,1,"Read first time. To print."
1893349,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893349,2025-02-03,Assembly,3,"Referred to Coms. on W. P., & W. and NAT. RES."
1893349,2025-03-13,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on W. P., & W. Read second time and amended."
1893349,2025-03-17,Assembly,5,"Re-referred to Com. on W. P., & W."
1893349,2025-03-25,Assembly,6,"From committee: Do pass and re-refer to Com. on NAT. RES. with recommendation: To Consent Calendar. (Ayes 13. Noes 0.) (March 25). Re-referred to Com. on NAT. RES."
1893349,2025-04-08,Assembly,7,"From committee: Do pass and re-refer to Com. on APPR. with recommendation: To Consent Calendar. (Ayes 14. Noes 0.) (April 7). Re-referred to Com. on APPR."
1893349,2025-04-23,Assembly,8,"From committee: Do pass. To Consent Calendar. (Ayes 15. Noes 0.) (April 23)."
1893349,2025-04-24,Assembly,9,"Read second time. Ordered to Consent Calendar."
1893349,2025-05-01,Assembly,10,"Read third time. Passed. Ordered to the Senate. (Ayes 76. Noes 0. Page 1385.)"
1893349,2025-05-01,Senate,11,"In Senate. Read first time. To Com. on RLS. for assignment."
1893349,2025-05-14,Senate,12,"Referred to Coms. on N.R. & W. and E.Q."
1893349,2025-05-23,Senate,13,"From committee chair, with author's amendments: Amend, and re-refer to committee. Read second time, amended, and re-referred to Com. on N.R. & W."
1893349,2025-06-10,Senate,14,"From committee: Do pass and re-refer to Com. on E.Q. with recommendation: To Consent Calendar. (Ayes 7. Noes 0.) (June 10). Re-referred to Com. on E.Q."
1893349,2025-07-02,Senate,15,"From committee: Do pass and re-refer to Com. on APPR. with recommendation: To Consent Calendar. (Ayes 8. Noes 0.) (July 2). Re-referred to Com. on APPR."
1893349,2025-07-14,Senate,16,"From committee: Be ordered to second reading file pursuant to Senate Rule 28.8 and ordered to Consent Calendar."
1893349,2025-07-15,Senate,17,"Read second time. Ordered to Consent Calendar."
1893349,2025-07-17,Senate,18,"Read third time. Passed. Ordered to the Assembly. (Ayes 35. Noes 0. Page 2137.)."
1893349,2025-07-17,Assembly,19,"In Assembly. Concurrence in Senate amendments pending."
1893349,2025-08-25,Assembly,20,"Ordered to the Senate."
1893349,2025-08-25,Senate,21,"In Senate. Held at Desk."
1893349,2025-08-29,Senate,22,"Action rescinded whereby the bill was read third time, passed, and to Assembly."
1893349,2025-08-29,Senate,23,"Ordered to third reading."
1893349,2025-08-29,Senate,24,"Read third time and amended. Ordered to second reading."
1893349,2025-09-02,Senate,25,"Read second time. Ordered to third reading."
1893349,2025-09-09,Senate,26,"Read third time. Passed. Ordered to the Assembly. (Ayes 38. Noes 0.)."
1893349,2025-09-09,Assembly,27,"In Assembly. Concurrence in Senate amendments pending."
1893349,2025-09-10,Assembly,28,"Senate amendments concurred in. To Engrossing and Enrolling. (Ayes 79. Noes 0. Page 3210.)."
1893349,2025-09-22,,29,"Enrolled and presented to the Governor at 3 p.m."
1893349,2025-10-11,,30,"Approved by the Governor."
1893349,2025-10-11,,31,"Chaptered by Secretary of State - Chapter 606, Statutes of 2025."
1893350,2024-12-02,Assembly,1,"Read first time. To print."
1893350,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893350,2025-02-03,Assembly,3,"Referred to Coms. on PUB. S. and JUD."
1893350,2025-02-24,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on PUB. S. Read second time and amended."
1893350,2025-02-25,Assembly,5,"Re-referred to Com. on PUB. S."
1893350,2025-03-04,Assembly,6,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 9. Noes 0.) (March 4). Re-referred to Com. on APPR."
1893350,2025-04-09,Assembly,7,"In committee: Set, first hearing. Referred to APPR. suspense file."
1893350,2025-05-23,Assembly,8,"Assembly Rule 63 suspended. (Ayes 51. Noes 16. Page 1644.)"
1893350,2025-05-23,Assembly,9,"From committee: Amend, and do pass as amended. (Ayes 11. Noes 1.) (May 23)."
1893350,2025-05-23,Assembly,10,"Read second time and amended. Ordered returned to second reading."
1893350,2025-05-27,Assembly,11,"Read second time. Ordered to third reading."
1893350,2025-06-03,Assembly,12,"Read third time. Passed. Ordered to the Senate. (Ayes 70. Noes 2. Page 2026.)"
1893350,2025-06-04,Senate,13,"In Senate. Read first time. To Com. on RLS. for assignment."
1893350,2025-06-18,Senate,14,"Referred to Com. on PUB. S."
1893350,2025-07-15,Senate,15,"From committee: Amend, and do pass as amended and re-refer to Com. on APPR. (Ayes 5. Noes 0.) (July 15)."
1893350,2025-07-16,Senate,16,"Read second time and amended. Re-referred to Com. on APPR."
1893350,2025-08-18,Senate,17,"In committee: Referred to suspense file."
1893350,2025-08-29,Senate,18,"From committee: Do pass. (Ayes 5. Noes 0.) (August 29)."
1893350,2025-08-29,Senate,19,"Read second time. Ordered to third reading."
1893350,2025-09-08,Senate,20,"Read third time. Passed. Ordered to the Assembly. (Ayes 29. Noes 0.)."
1893350,2025-09-08,Assembly,21,"In Assembly. Concurrence in Senate amendments pending."
1893350,2025-09-09,Assembly,22,"Senate amendments concurred in. To Engrossing and Enrolling. (Ayes 72. Noes 0. Page 3099.)."
1893350,2025-09-16,,23,"Enrolled and presented to the Governor at 2 p.m."
1893350,2025-10-11,Assembly,24,"Vetoed by Governor."
1893350,2025-10-11,Assembly,25,"Consideration of Governor's veto pending."
1893351,2024-12-02,Assembly,1,"Read first time. To print."
1893351,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893351,2025-02-03,Assembly,3,"Referred to Com. on ELECTIONS."
1893351,2025-04-10,Assembly,4,"From committee: Amend, and do pass as amended and re-refer to Com. on APPR. (Ayes 7. Noes 0.) (April 9)."
1893351,2025-04-21,Assembly,5,"Read second time and amended."
1893351,2025-04-22,Assembly,6,"Re-referred to Com. on APPR."
1893351,2025-04-24,Assembly,7,"Withdrawn from committee."
1893351,2025-04-24,Assembly,8,"Ordered to second reading."
1893351,2025-04-28,Assembly,9,"Read second time. Ordered to third reading."
1893351,2025-05-05,Assembly,10,"Read third time. Passed. Ordered to the Senate. (Ayes 75. Noes 0. Page 1428.)"
1893351,2025-05-06,Senate,11,"In Senate. Read first time. To Com. on RLS. for assignment."
1893351,2025-05-14,Senate,12,"Referred to Com. on E. & C.A."
1893351,2025-06-09,Senate,13,"In committee: Hearing postponed by committee."
1893351,2025-07-01,Senate,14,"From committee: Do pass. (Ayes 5. Noes 0.) (July 1)."
1893351,2025-07-02,Senate,15,"Read second time. Ordered to third reading."
1893351,2025-09-04,Senate,16,"Read third time and amended. Ordered to second reading."
1893351,2025-09-08,Senate,17,"Read second time. Ordered to third reading."
1893351,2025-09-11,Senate,18,"Read third time. Passed. Ordered to the Assembly. (Ayes 38. Noes 0.)."
1893351,2025-09-12,Assembly,19,"In Assembly. Concurrence in Senate amendments pending."
1893351,2025-09-13,Assembly,20,"Joint Rules 61(a)(14) and 51(a)(4) suspended. (Ayes 59. Noes 20. Page 3413.)"
1893351,2025-09-13,Assembly,21,"Senate amendments concurred in. To Engrossing and Enrolling. (Ayes 74. Noes 0. Page 3495.)."
1893351,2025-09-24,,22,"Enrolled and presented to the Governor at 3 p.m."
1893351,2025-10-01,,23,"Approved by the Governor."
1893351,2025-10-01,,24,"Chaptered by Secretary of State - Chapter 140, Statutes of 2025."
1893352,2024-12-02,Assembly,1,"Read first time. To print."
1893352,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893352,2025-02-03,Assembly,3,"Referred to Com. on ELECTIONS."
1893352,2025-02-20,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on ELECTIONS. Read second time and amended."
1893352,2025-02-21,Assembly,5,"Re-referred to Com. on ELECTIONS."
1893352,2025-03-26,Assembly,6,"From committee: Do pass and re-refer to Com. on APPR. with recommendation: To Consent Calendar. (Ayes 7. Noes 0.) (March 26). Re-referred to Com. on APPR."
1893352,2025-04-09,Assembly,7,"From committee: Do pass. To Consent Calendar. (Ayes 14. Noes 0.) (April 9)."
1893352,2025-04-10,Assembly,8,"Read second time. Ordered to Consent Calendar."
1893352,2025-04-24,Assembly,9,"Read third time. Passed. Ordered to the Senate. (Ayes 75. Noes 0. Page 1278.)"
1893352,2025-04-24,Senate,10,"In Senate. Read first time. To Com. on RLS. for assignment."
1893352,2025-05-07,Senate,11,"Referred to Com. on E. & C.A."
1893352,2025-06-09,Senate,12,"In committee: Hearing postponed by committee."
1893352,2025-07-01,Senate,13,"From committee: Do pass and re-refer to Com. on APPR. with recommendation: To Consent Calendar. (Ayes 5. Noes 0.) (July 1). Re-referred to Com. on APPR."
1893352,2025-07-14,Senate,14,"From committee: Be ordered to second reading file pursuant to Senate Rule 28.8 and ordered to Consent Calendar."
1893352,2025-07-15,Senate,15,"Read second time. Ordered to Consent Calendar."
1893352,2025-07-17,Senate,16,"Read third time. Passed. Ordered to the Assembly. (Ayes 35. Noes 0. Page 2137.)."
1893352,2025-07-17,Assembly,17,"In Assembly. Ordered to Engrossing and Enrolling."
1893352,2025-07-25,,18,"Enrolled and presented to the Governor at 11:30 a.m."
1893352,2025-07-30,,19,"Approved by the Governor."
1893352,2025-07-30,,20,"Chaptered by Secretary of State - Chapter 80, Statutes of 2025."
1893353,2024-12-02,Assembly,1,"Read first time. To print."
1893353,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893354,2024-12-02,Assembly,1,"Read first time. To print."
1893354,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893354,2025-03-28,Assembly,3,"Referred to Coms. on REV. & TAX. and ED."
1893354,2025-03-28,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on REV. & TAX. Read second time and amended."
1893354,2025-04-01,Assembly,5,"Re-referred to Com. on REV. & TAX."
1893354,2025-04-21,Assembly,6,"In committee: Set, first hearing. Referred to suspense file."
1893354,2025-04-28,Assembly,7,"In committee: Set, second hearing. Held under submission."
1893355,2024-12-02,Assembly,1,"Read first time. To print."
1893355,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893355,2025-03-17,Assembly,3,"Referred to Coms. on P. & C.P. and JUD."
1893355,2025-03-17,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on P. & C.P. Read second time and amended."
1893355,2025-03-18,Assembly,5,"Re-referred to Com. on P. & C.P."
1893355,2025-04-02,Assembly,6,"From committee: Amend, and do pass as amended and re-refer to Com. on JUD. (Ayes 9. Noes 0.) (April 1)."
1893355,2025-04-03,Assembly,7,"Read second time and amended."
1893355,2025-04-07,Assembly,8,"Re-referred to Com. on JUD."
1893355,2025-04-08,Assembly,9,"Coauthors revised."
1893355,2025-04-08,Assembly,10,"From committee: Do pass. (Ayes 9. Noes 0.) (April 8)."
1893355,2025-04-09,Assembly,11,"Read second time. Ordered to third reading."
1893355,2025-05-12,Assembly,12,"Read third time. Passed. Ordered to the Senate. (Ayes 66. Noes 0. Page 1507.)"
1893355,2025-05-13,Senate,13,"In Senate. Read first time. To Com. on RLS. for assignment."
1893355,2025-05-21,Senate,14,"Referred to Coms. on JUD. and APPR."
1893355,2025-06-23,Senate,15,"In committee: Set, first hearing. Hearing canceled at the request of author."
1893355,2025-06-30,Senate,16,"In committee: Set, second hearing. Hearing canceled at the request of author."
1893355,2025-07-14,Senate,17,"In committee: Hearing postponed by committee."
1893356,2024-12-02,Assembly,1,"Read first time. To print."
1893356,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893356,2025-03-24,Assembly,3,"Referred to Coms. on H. & C.D. and HUM. S."
1893356,2025-03-24,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on H. & C.D. Read second time and amended."
1893356,2025-03-25,Assembly,5,"Re-referred to Com. on H. & C.D."
1893356,2025-04-24,Assembly,6,"In committee: Set, first hearing. Failed passage."
1893356,2025-05-21,Assembly,7,"From committee: Without further action pursuant to Joint Rule 62(a)."
1893357,2024-12-02,Assembly,1,"Read first time. To print."
1893357,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893357,2025-03-24,Assembly,3,"Referred to Coms. on H. & C.D. and JUD."
1893357,2025-03-24,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on H. & C.D. Read second time and amended."
1893357,2025-03-25,Assembly,5,"Re-referred to Com. on H. & C.D."
1893357,2025-04-24,Assembly,6,"In committee: Set, first hearing. Failed passage."
1893357,2025-04-24,Assembly,7,"In committee: Reconsideration refused."
1893357,2025-04-28,Assembly,8,"From committee: Without further action pursuant to Joint Rule 62(a)."
1893358,2024-12-02,Assembly,1,"Read first time. To print."
1893358,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893358,2025-03-24,Assembly,3,"Referred to Com. on PUB. S."
1893358,2025-03-24,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on PUB. S. Read second time and amended."
1893358,2025-03-25,Assembly,5,"Re-referred to Com. on PUB. S."
1893358,2025-04-01,Assembly,6,"From committee chair, with author's amendments: Amend, and re-refer to Com. on PUB. S. Read second time and amended."
1893358,2025-04-02,Assembly,7,"Re-referred to Com. on PUB. S."
1893358,2025-04-02,Assembly,8,"In committee: Hearing postponed by committee."
1893358,2025-04-22,Assembly,9,"In committee: Set, first hearing. Held without recommendation."
1893359,2024-12-02,Assembly,1,"Read first time. To print."
1893359,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893359,2025-03-24,Assembly,3,"Referred to Coms. on U. & E. and NAT. RES."
1893359,2025-03-25,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on U. & E. Read second time and amended."
1893359,2025-03-26,Assembly,5,"Re-referred to Com. on U. & E."
1893360,2024-12-02,Assembly,1,"Read first time. To print."
1893360,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893360,2025-03-24,Assembly,3,"Referred to Coms. on L. GOV. and TRANS."
1893360,2025-03-24,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on L. GOV. Read second time and amended."
1893360,2025-03-25,Assembly,5,"Re-referred to Com. on L. GOV."
1893360,2025-04-08,Assembly,6,"From committee chair, with author's amendments: Amend, and re-refer to Com. on L. GOV. Read second time and amended."
1893360,2025-04-09,Assembly,7,"Re-referred to Com. on L. GOV."
1893360,2025-04-23,Assembly,8,"In committee: Set, first hearing. Held without recommendation."
1893361,2024-12-02,Assembly,1,"Read first time. To print."
1893361,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893361,2025-02-24,Assembly,3,"Referred to Coms. on ELECTIONS and JUD."
1893361,2025-02-24,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on ELECTIONS. Read second time and amended."
1893361,2025-02-25,Assembly,5,"Re-referred to Com. on ELECTIONS."
1893361,2025-04-09,Assembly,6,"In committee: Set, first hearing. Failed passage."
1893361,2025-04-09,Assembly,7,"In committee: Reconsideration refused."
1893361,2025-04-09,Assembly,8,"From committee: Without further action pursuant to Joint Rule 62(a)."
1893362,2024-12-02,Assembly,1,"Read first time. To print."
1893362,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893363,2024-12-02,Assembly,1,"Read first time. To print."
1893363,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893363,2025-02-03,Assembly,3,"Referred to Com. on REV. & TAX."
1893363,2025-03-03,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on REV. & TAX. Read second time and amended."
1893363,2025-03-04,Assembly,5,"Re-referred to Com. on REV. & TAX."
1893363,2025-03-10,Assembly,6,"In committee: Set, first hearing. Referred to REV. & TAX. suspense file."
1893363,2025-05-06,Assembly,7,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 7. Noes 0.) (May 5). Re-referred to Com. on APPR."
1893363,2025-05-14,Assembly,8,"In committee: Hearing postponed by committee."
1893363,2025-05-21,Assembly,9,"In committee: Set, first hearing. Referred to APPR. suspense file."
1893363,2025-05-21,Assembly,10,"Joint Rule 62(a), file notice suspended. (Page 1627.)"
1893363,2025-05-23,Assembly,11,"From committee: Do pass. (Ayes 14. Noes 0.) (May 23)."
1893363,2025-05-27,Assembly,12,"Read second time. Ordered to third reading."
1893363,2025-05-29,Assembly,13,"Read third time. Passed. Ordered to the Senate. (Ayes 71. Noes 0. Page 1774.)"
1893363,2025-05-29,Senate,14,"In Senate. Read first time. To Com. on RLS. for assignment."
1893363,2025-06-11,Senate,15,"Referred to Com. on REV. & TAX."
1893363,2025-06-19,Senate,16,"From committee chair, with author's amendments: Amend, and re-refer to committee. Read second time, amended, and re-referred to Com. on REV. & TAX."
1893363,2025-06-25,Senate,17,"From committee: Do pass and re-refer to Com. on RLS. (Ayes 5. Noes 0.) (June 25). Re-referred to Com. on RLS."
1893363,2025-07-02,Senate,18,"Re-referred to Com. on HUMAN S."
1893363,2025-07-08,Senate,19,"From committee: Do pass and re-refer to Com. on APPR. with recommendation: To Consent Calendar. (Ayes 5. Noes 0.) (July 7). Re-referred to Com. on APPR."
1893363,2025-08-13,Senate,20,"In committee: Set, first hearing. Hearing canceled at the request of author."
1893364,2024-12-02,Assembly,1,"Read first time. To print."
1893364,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893364,2025-03-24,Assembly,3,"Referred to Com. on NAT. RES."
1893364,2025-03-24,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on NAT. RES. Read second time and amended."
1893364,2025-03-25,Assembly,5,"Re-referred to Com. on NAT. RES."
1893364,2025-05-05,Assembly,6,"From committee: Amend, and do pass as amended and re-refer to Com. on APPR. (Ayes 11. Noes 3.) (April 28)."
1893364,2025-05-06,Assembly,7,"Read second time and amended."
1893364,2025-05-07,Assembly,8,"Re-referred to Com. on APPR."
1893364,2025-05-14,Assembly,9,"In committee: Set, first hearing. Referred to suspense file."
1893364,2025-05-23,Assembly,10,"From committee: Do pass. (Ayes 11. Noes 3.) (May 23)."
1893364,2025-05-27,Assembly,11,"Read second time. Ordered to third reading."
1893364,2025-05-29,Assembly,12,"Read third time. Passed. Ordered to the Senate. (Ayes 56. Noes 9. Page 1775.)"
1893364,2025-05-29,Senate,13,"In Senate. Read first time. To Com. on RLS. for assignment."
1893364,2025-06-11,Senate,14,"Referred to Com. on E.Q."
1893364,2025-06-27,Senate,15,"In committee: Set, first hearing. Hearing canceled at the request of author."
1893364,2025-07-03,Senate,16,"From committee chair, with author's amendments: Amend, and re-refer to committee. Read second time, amended, and re-referred to Com. on E.Q."
1893364,2025-07-18,Senate,17,"From committee: Amend, and do pass as amended and re-refer to Com. on APPR. (Ayes 7. Noes 0.) (July 16)."
1893364,2025-07-18,Senate,18,"Read second time and amended. Re-referred to Com. on APPR."
1893364,2025-08-18,Senate,19,"In committee: Referred to suspense file."
1893364,2025-08-29,Senate,20,"From committee: Do pass. (Ayes 5. Noes 2.) (August 29)."
1893364,2025-08-29,Senate,21,"Read second time. Ordered to third reading."
1893364,2025-09-03,Senate,22,"Read third time and amended. Ordered to second reading."
1893364,2025-09-04,Senate,23,"Read second time. Ordered to third reading."
1893364,2025-09-08,Senate,24,"Ordered to inactive file at the request of Senator Blakespear."
1893365,2024-12-02,Assembly,1,"Read first time. To print."
1893365,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893365,2025-02-03,Assembly,3,"Referred to Com. on HEALTH."
1893365,2025-03-19,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on HEALTH. Read second time and amended."
1893365,2025-03-20,Assembly,5,"Re-referred to Com. on HEALTH."
1893365,2025-04-02,Assembly,6,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 15. Noes 0.) (April 1). Re-referred to Com. on APPR."
1893365,2025-04-23,Assembly,7,"In committee: Set, first hearing. Referred to suspense file."
1893365,2025-05-23,Assembly,8,"In committee: Held under submission."
1893366,2024-12-02,Assembly,1,"Read first time. To print."
1893366,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893366,2025-02-03,Assembly,3,"Referred to Com. on HEALTH."
1893366,2025-03-20,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on HEALTH. Read second time and amended."
1893366,2025-03-24,Assembly,5,"Re-referred to Com. on HEALTH."
1893367,2024-12-02,Assembly,1,"Read first time. To print."
1893367,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
1893367,2025-02-18,Assembly,3,"Referred to Com. on NAT. RES."
1893367,2025-03-04,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on NAT. RES. Read second time and amended."
1893367,2025-03-05,Assembly,5,"Re-referred to Com. on NAT. RES."
1893367,2025-03-25,Assembly,6,"From committee: Amend, and do pass as amended and re-refer to Com. on APPR. (Ayes 12. Noes 0.) (March 24)."
1893367,2025-03-26,Assembly,7,"Read second time and amended."
1893367,2025-03-27,Assembly,8,"Re-referred to Com. on APPR."
1893367,2025-04-09,Assembly,9,"In committee: Set, first hearing. Referred to APPR. suspense file."
1893367,2025-05-23,Assembly,10,"From committee: Do pass. (Ayes 13. Noes 0.) (May 23)."
1893367,2025-05-27,Assembly,11,"Read second time. Ordered to third reading."
1893367,2025-06-04,Assembly,12,"Read third time. Urgency clause adopted. Passed. Ordered to the Senate. (Ayes 77. Noes 0. Page 2073.)."
1893367,2025-06-05,Senate,13,"In Senate. Read first time. To Com. on RLS. for assignment."
1893367,2025-06-18,Senate,14,"Referred to Coms. on E.Q. and TRANS."
1893367,2025-07-02,Senate,15,"From committee: Do pass and re-refer to Com. on TRANS. (Ayes 8. Noes 0.) (July 2). Re-referred to Com. on TRANS."
1893367,2025-07-09,Senate,16,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 15. Noes 0.) (July 8). Re-referred to Com. on APPR."
1893367,2025-08-18,Senate,17,"In committee: Referred to suspense file."
1893367,2025-08-29,Senate,18,"From committee: Do pass. (Ayes 7. Noes 0.) (August 29)."
1893367,2025-08-29,Senate,19,"Read second time. Ordered to third reading."
1893367,2025-09-03,Senate,20,"Read third time. Urgency clause adopted. Passed. Ordered to the Assembly. (Ayes 39. Noes 0.)."
1893367,2025-09-03,Senate,21,"Read third time. Urgency clause adopted. Passed. Ordered to the Assembly. (Ayes 40. Noes 0. Page 2440.)."
1893367,2025-09-03,Assembly,22,"In Assembly. Ordered to Engrossing and Enrolling."
1893367,2025-09-09,,23,"Enrolled and presented to the Governor at 3 p.m."
1893367,2025-10-02,,24,"Approved by the Governor."
1893367,2025-10-02,,25,"Chaptered by Secretary of State - Chapter 247, Statutes of 2025."
1893368,2024-12-02,Assembly,1,"Read first time. To print."
1893368,2024-12-03,Assembly,2,"From printer. May be heard in committee January 2."
